timestamp,total_energy_kw,predicted_kw,is_anomaly,temp,humidity,device_hvac,device_lighting,device_production_line,device_data_center
2024-01-26 15:30:00,195.2,313.17,False,21.5,40.9,33.92,8.76,90.92,61.6
2024-01-26 16:00:00,257.45,302.79,False,22.6,52.4,44.13,12.02,117.06,84.24
2024-01-26 16:30:00,393.8,333.93,False,8.7,47.5,68.17,17.44,178.28,129.91
2024-01-26 17:00:00,218.11,325.04,False,22.3,48.2,37.65,10.22,99.33,70.91
2024-01-26 17:30:00,344.18,350.48,False,29.5,52.3,58.42,16.04,155.36,114.36
2024-01-26 18:00:00,340.16,373.97,False,19.9,30.3,58.91,15.96,154.33,110.97
2024-01-26 18:30:00,233.63,368.13,False,24.0,50.2,39.51,10.55,105.9,77.67
2024-01-26 19:00:00,285.78,362.45,False,19.1,52.0,50.46,13.39,129.43,92.52
2024-01-26 19:30:00,347.75,354.08,False,25.9,51.5,60.48,15.62,159.25,112.39
2024-01-26 20:00:00,242.73,356.64,False,22.4,46.4,41.63,11.29,110.64,79.17
2024-01-26 20:30:00,257.29,373.41,False,18.0,66.3,43.98,11.27,118.76,83.28
2024-01-26 21:00:00,234.54,366.32,False,31.7,44.4,40.12,10.72,107.88,75.82
2024-01-26 21:30:00,209.26,314.63,False,29.3,52.9,35.39,9.79,96.22,67.86
2024-01-26 22:00:00,231.0,316.85,False,20.0,68.7,40.47,10.38,107.02,73.14
2024-01-26 22:30:00,201.35,275.68,False,26.7,48.4,35.38,9.29,92.38,64.3
2024-01-26 23:00:00,264.87,252.04,False,26.9,52.8,46.43,11.75,122.11,84.58
2024-01-26 23:30:00,224.99,248.93,False,27.6,48.2,39.0,10.08,104.93,70.98
2024-01-27 00:00:00,274.58,244.11,False,13.5,67.8,47.35,12.8,125.73,88.71
2024-01-27 00:30:00,182.73,198.32,False,29.8,45.8,31.62,8.52,84.15,58.45
2024-01-27 01:00:00,280.27,208.53,True,20.2,68.5,48.02,12.69,131.42,88.14
2024-01-27 01:30:00,394.18,223.45,True,21.5,48.1,146.6,14.33,137.21,96.04
2024-01-27 02:00:00,213.21,203.14,False,39.6,37.0,78.18,7.26,73.6,54.17
2024-01-27 02:30:00,281.5,223.11,False,25.5,59.6,48.99,12.54,130.13,89.85
2024-01-27 03:00:00,323.85,250.1,False,21.4,45.1,55.75,15.15,148.63,104.31
2024-01-27 03:30:00,205.74,250.31,False,10.4,58.7,35.67,9.52,93.92,66.64
2024-01-27 04:00:00,343.68,273.87,False,32.1,9.5,59.79,16.17,155.76,111.96
2024-01-27 04:30:00,288.0,290.97,False,15.6,49.7,49.51,12.61,131.8,94.07
2024-01-27 05:00:00,228.34,277.47,False,17.6,42.9,39.53,10.48,105.93,72.4
2024-01-27 05:30:00,259.0,299.04,False,21.7,34.0,44.95,12.04,117.36,84.65
2024-01-27 06:00:00,291.53,302.31,False,32.2,41.5,49.65,13.56,133.47,94.86
