timestamp,total_energy_kw,predicted_kw,is_anomaly,temp,humidity,device_hvac,device_lighting,device_production_line,device_data_center
2024-03-31 00:00:00,260.38,279.4,False,21.0,33.2,45.09,12.28,117.28,85.74
2024-03-31 00:30:00,260.61,302.96,False,21.2,42.7,43.04,11.87,120.67,85.04
2024-03-31 01:00:00,330.06,313.39,False,24.3,75.5,56.52,14.97,151.61,106.97
2024-03-31 01:30:00,205.97,292.39,False,13.9,45.8,36.86,9.56,92.96,66.59
2024-03-31 02:00:00,226.7,287.31,False,15.0,8.2,39.64,10.41,103.79,72.86
2024-03-31 02:30:00,310.3,287.75,False,25.9,46.6,52.39,14.35,142.78,100.77
2024-03-31 03:00:00,236.52,295.4,False,18.9,51.6,41.0,10.45,107.92,77.15
2024-03-31 03:30:00,312.74,292.13,False,30.2,11.1,51.48,14.38,144.79,102.08
2024-03-31 04:00:00,341.96,314.35,False,25.0,69.2,58.9,15.07,159.36,108.62
2024-03-31 04:30:00,238.0,313.41,False,27.4,39.1,38.7,9.91,114.73,74.65
2024-03-31 05:00:00,295.09,323.49,False,32.2,54.4,45.88,11.6,143.5,94.12
2024-03-31 05:30:00,203.24,308.45,False,21.8,46.3,31.28,8.04,102.29,61.64
2024-03-31 06:00:00,296.09,301.75,False,20.2,30.7,44.65,11.11,152.16,88.18
2024-03-31 06:30:00,269.01,320.1,False,29.0,33.9,40.74,9.61,137.81,80.86
2024-03-31 07:00:00,289.03,337.87,False,26.8,35.9,42.47,9.88,153.96,82.73
2024-03-31 07:30:00,229.52,313.68,False,22.6,65.6,32.53,7.85,121.42,67.72
2024-03-31 08:00:00,179.0,298.36,False,32.1,47.4,25.02,6.04,95.68,52.26
2024-03-31 08:30:00,287.6,292.65,False,22.4,41.9,39.2,9.4,154.03,84.97
2024-03-31 09:00:00,157.79,238.54,False,23.9,35.9,22.38,5.11,85.37,44.93
2024-03-31 09:30:00,246.17,239.75,False,23.8,67.2,33.17,7.52,134.29,71.2
2024-03-31 10:00:00,305.65,243.49,False,18.0,71.1,42.47,9.23,165.85,88.11
2024-03-31 10:30:00,274.71,262.84,False,24.2,67.0,37.28,8.1,151.87,77.46
2024-03-31 11:00:00,356.32,280.0,False,32.1,56.8,48.3,11.05,192.49,104.48
2024-03-31 11:30:00,318.75,291.88,False,26.4,53.9,0.0,10.52,203.87,104.37
2024-03-31 12:00:00,226.47,275.67,False,23.9,31.7,30.56,6.58,125.45,63.88
2024-03-31 12:30:00,264.08,285.35,False,22.7,46.0,34.34,7.89,149.03,72.82
2024-03-31 13:00:00,258.41,308.55,False,25.7,39.6,34.04,7.6,144.27,72.5
2024-03-31 13:30:00,181.14,278.56,False,28.2,22.8,0.0,5.92,116.19,59.03
2024-03-31 14:00:00,218.86,294.71,False,27.4,65.1,0.0,6.94,142.27,69.65
2024-03-31 14:30:00,237.47,291.21,False,21.7,39.4,32.17,6.65,133.3,65.36
